Learning Algorithm,Average Recall,Standard Deviation
,,
AdaBoost (Logistic Regression),0.76,0.09
LR + OS-ELM (hybrid),0.77,0.08
Bagging (LR),0.76,0.09
Logistic Regression,0.76,0.09
,,
OS-ELM,0.73,0.07
,,
Naive Bayes,0.61,0.12
,,
Random Forest,0.64,0.06
,,
Gradient Boosting,0.66,0.08
,,
"SVM(""poly"")",0.73,0.05
"Bagging(SVM(""poly""))",0.72,0.05
"Bagging (SVM(""rbf""))",0.6,0.06
"SVM(""rbf"")",0.61,0.07
"SVM(""linear"")",0.775,0.09
"SVM(""sigmoid"")",0.7,0.11
"Bagging(SVM(""linear""))",0.77,0.09
"Bagging (SVM(""sigmoid""))",0.65,0.09
"AdaBoost (SVM(""linear""))",0.77,0.03
"AdaBoost (SVM(""poly""))",0.77,0.07
"AdaBoost(SVM(""sigmoid""))",,
"AdaBoost(SVM(""rbf"")",,
,,
"Max-Voting (5, SVM(""rbf""))",0.65,0.07
"Max-Vote (5,SVM(""poly""))",0.65,0.06
"Max-Voting(3,SVM(""poly""))",0.71,0.6
"Max-Voting (3, SVM(""rbf""))",0.69,0.07
"Max-Voting (5, SVM(""linear""))",0.64,0.07
"Max-Vote (5,SVM(""sigmoid""))",0.66,0.07
"Max-Voting(3,SVM(""linear""))",0.67,0.09
"Max-Voting (3, SVM(""sigmoid""))",0.72,0.08
